# x_perp   Delta_GR(km/s)   Delta_f(R)(km/s)   Delta_DGP(km/s)
0.969527   -4.1392   -5.51894   -2.93943
0.973779   -4.14786   -5.53048   -2.94558
0.978031   -4.1565   -5.542   -2.95172
0.982284   -4.16513   -5.5535   -2.95784
0.986536   -4.17373   -5.56497   -2.96395
0.990788   -4.18232   -5.57642   -2.97005
0.995041   -4.19089   -5.58785   -2.97614
0.999293   -4.19944   -5.59925   -2.98221
1.00355   -4.20797   -5.61063   -2.98827
1.0078   -4.21649   -5.62198   -2.99432
1.01205   -4.22498   -5.63331   -3.00035
1.0163   -4.23347   -5.64462   -3.00637
1.02055   -4.24193   -5.65591   -3.01238
1.02481   -4.25038   -5.66717   -3.01838
1.02906   -4.2588   -5.67841   -3.02437
1.03331   -4.26722   -5.68962   -3.03034
1.03756   -4.27561   -5.70082   -3.0363
1.04182   -4.28399   -5.71199   -3.04225
1.04607   -4.29235   -5.72313   -3.04819
1.05032   -4.3007   -5.73426   -3.05412
1.05457   -4.30902   -5.74536   -3.06003
1.05883   -4.31733   -5.75645   -3.06593
1.06308   -4.32563   -5.7675   -3.07182
1.06733   -4.33391   -5.77854   -3.0777
1.07158   -4.34217   -5.78956   -3.08357
1.07583   -4.35041   -5.80055   -3.08942
1.08009   -4.35864   -5.81152   -3.09527
1.08434   -4.36685   -5.82247   -3.1011
1.08859   -4.37505   -5.8334   -3.10692
1.09284   -4.38323   -5.84431   -3.11273
1.0971   -4.3914   -5.85519   -3.11853
1.10135   -4.39954   -5.86606   -3.12431
1.1056   -4.40768   -5.8769   -3.13009
1.10985   -4.41579   -5.88772   -3.13585
1.11411   -4.42389   -5.89852   -3.14161
1.11836   -4.43198   -5.9093   -3.14735
1.12261   -4.44005   -5.92006   -3.15308
1.12686   -4.4481   -5.9308   -3.1588
1.13111   -4.45614   -5.94152   -3.1645
1.13537   -4.46416   -5.95222   -3.1702
1.13962   -4.47217   -5.96289   -3.17589
1.14387   -4.48016   -5.97355   -3.18156
1.14812   -4.48814   -5.98418   -3.18723
1.15238   -4.4961   -5.9948   -3.19288
1.15663   -4.50405   -6.00539   -3.19852
1.16088   -4.51198   -6.01597   -3.20416
1.16513   -4.51989   -6.02652   -3.20978
1.16939   -4.52779   -6.03706   -3.21539
1.17364   -4.53568   -6.04757   -3.22099
1.17789   -4.54355   -6.05807   -3.22658
1.18214   -4.55141   -6.06854   -3.23216
1.18639   -4.55925   -6.079   -3.23773
1.19065   -4.56708   -6.08944   -3.24329
1.1949   -4.57489   -6.09985   -3.24883
1.19915   -4.58269   -6.11025   -3.25437
1.2034   -4.59047   -6.12063   -3.2599
1.20766   -4.59824   -6.13099   -3.26542
1.21191   -4.60599   -6.14132   -3.27092
1.21616   -4.61373   -6.15164   -3.27642
1.22041   -4.62146   -6.16195   -3.28191
1.22467   -4.62917   -6.17223   -3.28738
1.22892   -4.63687   -6.18249   -3.29285
1.23317   -4.64455   -6.19273   -3.2983
1.23742   -4.65222   -6.20296   -3.30375
1.24167   -4.65987   -6.21317   -3.30919
1.24593   -4.66752   -6.22335   -3.31461
1.25018   -4.67514   -6.23352   -3.32003
1.25443   -4.68276   -6.24367   -3.32544
1.25868   -4.69035   -6.25381   -3.33083
1.26294   -4.69794   -6.26392   -3.33622
1.26719   -4.70551   -6.27402   -3.3416
1.27144   -4.71307   -6.28409   -3.34696
1.27569   -4.72061   -6.29415   -3.35232
1.27995   -4.72814   -6.30419   -3.35767
1.2842   -4.73566   -6.31422   -3.36301
1.28845   -4.74317   -6.32422   -3.36833
1.2927   -4.75066   -6.33421   -3.37365
1.29695   -4.75813   -6.34418   -3.37896
1.30121   -4.7656   -6.35413   -3.38426
1.30546   -4.77305   -6.36406   -3.38955
1.30971   -4.78048   -6.37398   -3.39484
1.31396   -4.78791   -6.38388   -3.40011
1.31822   -4.79532   -6.39376   -3.40537
1.32247   -4.80271   -6.40362   -3.41062
1.32672   -4.8101   -6.41346   -3.41587
1.33097   -4.81747   -6.42329   -3.4211
1.33523   -4.82483   -6.4331   -3.42633
1.33948   -4.83217   -6.4429   -3.43154
1.34373   -4.83951   -6.45267   -3.43675
1.34798   -4.84682   -6.46243   -3.44195
1.35223   -4.85413   -6.47218   -3.44714
1.35649   -4.86143   -6.4819   -3.45232
1.36074   -4.86871   -6.49161   -3.45749
1.36499   -4.87598   -6.5013   -3.46265
1.36924   -4.88323   -6.51097   -3.4678
1.3735   -4.89047   -6.52063   -3.47295
1.37775   -4.8977   -6.53027   -3.47808
1.382   -4.90492   -6.5399   -3.48321
1.38625   -4.91213   -6.5495   -3.48832
